,Name,Sex,Color,C_ID,Generation,Favorite_Song,E_ID,PH_Name,PH_ID,PR_ID
0,Mary,Hen,Black&White,225766667,Initial_Flock,Paradise By The Dashboard Light,,,,
1,Pat,Hen,Black&White,631311759,Initial_Flock,With a Little Luck,,,,
2,Barb,Hen,Black&White,397591248,Initial_Flock,Walk On The Wild Side,,,,
3,Liz,Hen,Black&White,630559425,Initial_Flock,Wild Horses,,,,
4,Ralph,Rooster,Black&White,800981516,Initial_Flock,Pride of Man,,,,
1134,GWENN,Hen,Black&White,884986770,Gen1,Have a Drink On Me,884986770,Pat,631311759,800981516
850,LOLITA,Hen,Black&White,744877899,Gen1,And She Was,744877899,Pat,631311759,800981516
358,SHAROLYN,Hen,Black&White,59922539,Gen1,Night Prowler,59922539,Mary,225766667,800981516
1377,RUFINA,Hen,Black&White,34072451,Gen1,Hypnotized,34072451,Barb,397591248,800981516
799,FERMINA,Hen,Black&White,997044851,Gen1,Limelight,997044851,Pat,631311759,800981516
1189,DEANE,Hen,Black&White,327145316,Gen1,Livin' Thing,327145316,Barb,397591248,800981516
1453,MALORIE,Hen,Black&White,423258457,Gen1,Counting Blue Cars,423258457,Barb,397591248,800981516
1721,HELLEN,Hen,Black&White,905132962,Gen1,We've Got Tonight,905132962,Liz,630559425,800981516
517,AURA,Hen,Black&White,204608118,Gen1,The Ballad Of John And Yoko,204608118,Mary,225766667,800981516
1794,RANA,Hen,Black&White,923804214,Gen1,Walk of Life,923804214,Liz,630559425,800981516
2189,ELFREDA,Hen,Black&White,852945005,Gen1,Lady Picture Show,852945005,Liz,630559425,800981516
2052,ALINA,Hen,Black&White,148946432,Gen1,Merry-Go-Round,148946432,Liz,630559425,800981516
420,ALEXANDRA,Hen,Black&White,102582398,Gen1,Another One Bites the Dust,102582398,Mary,225766667,800981516
222,JONELL,Hen,Black&White,461131488,Gen1,The River,461131488,Mary,225766667,800981516
1840,PENELOPE,Hen,Black&White,525986311,Gen1,American Pie,525986311,Liz,630559425,800981516
1895,ZORAIDA,Hen,Black&White,830718116,Gen1,Dog Eat Dog,830718116,Liz,630559425,800981516
594,BARBIE,Hen,Black&White,238196972,Gen1,Take the Money and Run,238196972,Mary,225766667,800981516
125,GIANNA,Hen,Black&White,590450352,Gen1,Come to Poppa,590450352,Mary,225766667,800981516
184,SONG,Hen,Black&White,38690046,Gen1,Free for All,38690046,Mary,225766667,800981516
1379,SHARLENE,Hen,Black&White,249446444,Gen1,Brass In Pocket,249446444,Barb,397591248,800981516
1951,CLARINE,Hen,Black&White,824725538,Gen1,Back Off Boogaloo,824725538,Liz,630559425,800981516
1101,JOHANA,Hen,Black&White,919605639,Gen1,After Midnight,919605639,Pat,631311759,800981516
1554,YANG,Hen,Black&White,729890819,Gen1,Strawberry Fields Forever,729890819,Barb,397591248,800981516
533,ROXANNA,Hen,Black&White,224031150,Gen1,Don't Ask Me Why,224031150,Mary,225766667,800981516
413,AKILAH,Hen,Black&White,135192679,Gen1,Telephone Line,135192679,Mary,225766667,800981516
1546,HWA,Hen,Black&White,565418959,Gen1,It's Late,565418959,Barb,397591248,800981516
2175,BARBRA,Hen,Black&White,832570811,Gen1,Life Is a Highway,832570811,Liz,630559425,800981516
1112,ALAYNA,Hen,Black&White,687466224,Gen1,Back On The Road Again,687466224,Pat,631311759,800981516
1085,SALLIE,Hen,Black&White,763377021,Gen1,Alison,763377021,Pat,631311759,800981516
1081,OCTAVIA,Hen,Black&White,170093498,Gen1,Communication Breakdown,170093498,Pat,631311759,800981516
492,RUBIE,Hen,Black&White,733533272,Gen1,Highway Star,733533272,Mary,225766667,800981516
1675,AI,Hen,Black&White,734213689,Gen1,Fooled around and Fell in Love,734213689,Barb,397591248,800981516
743,KARMA,Hen,Black&White,899514543,Gen1,Madman Across The Water,899514543,Pat,631311759,800981516
37,MARLEEN,Hen,Black&White,621081892,Gen1,Karn Evil 9,621081892,Mary,225766667,800981516
639,TOWANDA,Hen,Black&White,447173430,Gen1,YOU'VE GOT A FRIEND,447173430,Pat,631311759,800981516
627,AKILAH,Hen,Black&White,527948599,Gen1,Take Out The Gunman,527948599,Pat,631311759,800981516
337,DELIA,Hen,Black&White,409344934,Gen1,"Another Park, Another Sunday",409344934,Mary,225766667,800981516
81,STEPHANIE,Hen,Black&White,162244863,Gen1,Soul to Squeeze,162244863,Mary,225766667,800981516
2064,JOSIE,Hen,Black&White,379535793,Gen1,Space Oddity,379535793,Liz,630559425,800981516
2134,ILIANA,Hen,Black&White,598175413,Gen1,Hey Joe,598175413,Liz,630559425,800981516
963,BRANDON,Hen,Black&White,462413816,Gen1,Fool In the Rain,462413816,Pat,631311759,800981516
1907,CONSUELO,Hen,Black&White,783212318,Gen1,Don't Come Around Here No More,783212318,Liz,630559425,800981516
1597,ETHYL,Hen,Black&White,45863615,Gen1,Train Kept A-Rollin',45863615,Barb,397591248,800981516
1755,ELLY,Hen,Black&White,986027613,Gen1,I'll Fall In Love Again,986027613,Liz,630559425,800981516
2048,KANISHA,Hen,Black&White,1363281,Gen1,What You Need,1363281,Liz,630559425,800981516
762,CATARINA,Hen,Black&White,468233022,Gen1,Shot in the Dark,468233022,Pat,631311759,800981516
883,GRETCHEN,Hen,Black&White,605672782,Gen1,You Shook Me,605672782,Pat,631311759,800981516
685,MARYAM,Hen,Black&White,683759644,Gen1,Dreams,683759644,Pat,631311759,800981516
1846,JANETTE,Hen,Black&White,428335380,Gen1,I CAN SEE CLEARLY NOW,428335380,Liz,630559425,800981516
1332,Alfonso,Rooster,Black&White,849068796,Gen1,Fly By Night,849068796,Barb,397591248,800981516
870,Draven,Rooster,Black&White,690515072,Gen1,Tonight Tonight (live),690515072,Pat,631311759,800981516
560,Sawyer,Rooster,Black&White,314063231,Gen1,Behind Blue Eyes,314063231,Mary,225766667,800981516
1708,Anderson,Rooster,Black&White,866881069,Gen1,Ordinary Average Guy,866881069,Barb,397591248,800981516
1444,Karson,Rooster,Black&White,650882381,Gen1,On The Loose,650882381,Barb,397591248,800981516
665,Ralph,Rooster,Black&White,200097845,Gen1,Love Has Taken Its Toll,200097845,Pat,631311759,800981516
102,Randy,Rooster,Black&White,857956630,Gen1,I've Got a Rock 'N' Roll Heart,857956630,Mary,225766667,800981516
965,Lincoln,Rooster,Black&White,870351723,Gen1,Hymn 43,870351723,Pat,631311759,800981516
247,Jaylin,Rooster,Black&White,933690821,Gen1,Penny Lane,933690821,Mary,225766667,800981516
1156,Howard,Rooster,Black&White,618028080,Gen1,Helplessly Hoping,618028080,Pat,631311759,800981516
1533,Ethan,Rooster,Black&White,14586865,Gen1,Heroes,14586865,Barb,397591248,800981516
792,Matthew,Rooster,Black&White,119329546,Gen1,Goodbye Stranger,119329546,Pat,631311759,800981516
1534,Billy,Rooster,Black&White,141566545,Gen1,Maggie May,141566545,Barb,397591248,800981516
1310,Bobby,Rooster,Black&White,890606190,Gen1,Let's Get It Up,890606190,Barb,397591248,800981516
1865,Reid,Rooster,Black&White,600554862,Gen1,(I Just) Died in Your Arms,600554862,Liz,630559425,800981516
2167,Javon,Rooster,Black&White,763066813,Gen1,Son of a Son of a Sailor,763066813,Liz,630559425,800981516
41,Kameron,Rooster,Black&White,167740021,Gen1,The Letter,167740021,Mary,225766667,800981516
1255,Zachery,Rooster,Black&White,120625354,Gen1,Welcome To The Machine,120625354,Barb,397591248,800981516
441,Heriberto,Rooster,Black&White,280225309,Gen1,Where To Now St. Peter,280225309,Mary,225766667,800981516
